artist,year
Roy Acuff,1962
Alabama,2005
Bill Anderson,2001
Eddy Arnold,1966
Chet Atkins,1973
Gene Autry,1969
DeFord Bailey,2005
Bobby Bare,2013
Johnny Bond,1999
Bobby Braddock,2011
Harold Bradley,2006
Jerry Bradley,2019
Owen Bradley,1974
Rod Brasfield,1987
Garth Brooks,2012
Brooks & Dunn,2019
Jim Ed Brown,2015
Jim Ed Brown and the Browns,2015
Boudleaux and Felice Bryant,1991
Glen Campbell,2005
Bill Carlisle,2002
Carter Family,1970
Johnny Cash,1980
Roy Clark,2009
Cowboy Jack Clement,2013
Patsy Cline,1973
Hank Cochran,2014
Paul Cohen,1976
Floyd Cramer,2003
Vernon Dalhart,1981
Charlie Daniels,2016
Jimmie Davis,1972
Jimmy Dean,2010
Delmore Brothers,2001
Jim Denny,1966
Little Jimmy Dickens,1983
Ralph Emery,2007
The Everly Brothers,2001
Flatt And Scruggs,1985
Jim Foglesong,2004
Red Foley,1967
Tennessee Ernie Ford,1990
Fred Foster,2016
Joseph Frank,1967
Lefty Frizzell,1982
Connie B. Gay,1980
Don Gibson,2001
Vince Gill,2007
Johnny Gimble,2018
Merle Haggard,1994
Tom T. Hall,2008
Emmylou Harris,2008
George D. Hay,1966
Homer and Jethro,2001
Roy Horton,1982
Harlan Howard,1997
Ferlin Husky,2010
Alan Jackson,2017
Sonny James,2006
Waylon Jennings,2001
George Jones,1992
Grandpa Jones,1978
Jordanaires,2001
Pee Wee King,1974
Kris Kristofferson,2004
Don Law,2001
Brenda Lee,1997
Hubert Long,1979
The Louvin Brothers,2001
Loretta Lynn,1988
Uncle David Macon,1966
Barbara Mandrell,2009
Grady Martin,2015
Charlie McCoy,2009
Reba McEntire,2011
Roger Miller,1995
Ronnie Milsap,2014
Bill Monroe,1970
Patsy Montana,1996
George Morgan,1998
Ken Nelson,2001
Willie Nelson,1993
Oak Ridge Boys,2015
Buck Owens,1996
Dolly Parton,1999
Minnie Pearl,1975
Ralph Peer,1984
Sam Phillips,2001
Webb Pierce,2001
Elvis Presley,1998
Frances Preston,1992
Ray Price,1996
Charley Pride,2000
​Jerry Reed,2017
Jim Reeves,1967
Tex Ritter,1964
Hargus “Pig” Robbins,2012
Marty Robbins,1982
Jimmie Rodgers,1961
Kenny Rogers,2013
Roy Rogers,1988
Fred Rose,1961
Wesley Rose,1986
Arthur E. Satherley,1971
Don Schlitz,2017
Jean Shepard,2011
Billy Sherrill,2010
Stephen Sholes,1967
Ricky Skaggs,2018
Carl Smith,2003
Connie Smith,2012
Hank Snow,1979
Sons of the Pioneers,1980
Jack Stapp,1989
Ray Stevens,2019
Cliffie Stone,1989
Ernest V. “Pop” Stoneman,2008
George Strait,2006
The Duke of Paducah,1986
The Statler Brothers,2008
Hank Thompson,1989
Mel Tillis,2007
Floyd Tillman,1984
Merle Travis,1977
Randy Travis,2016
Ernest Tubb,1965
Grant Turner,1981
Conway Twitty,1999
Porter Wagoner,2002
Cindy Walker,1997
Jo Walker-Meador,1995
Kitty Wells,1976
E. W. “Bud” Wendell,1998
Dottie West,2018
Don Williams,2010
Hank Williams,1961
Bob Wills,1968
Mac Wiseman,2014
Tammy Wynette,1998
Faron Young,2000
